Visitor,Visitor pts,Home,Home pts,Winner
Brooklyn Nets,108,Philadelphia 76ers,124,1
Golden State Warriors,132,Dallas Mavericks,134,1
Memphis Grizzlies,109,New Orleans Pelicans,118,1
Detroit Pistons,129,Los Angeles Lakers,135,1
Washington Wizards,97,Charlotte Hornets,119,1
Utah Jazz,103,Indiana Pacers,95,0
Miami Heat,109,New York Knicks,103,0
Boston Celtics,91,Phoenix Suns,100,1
Sacramento Kings,113,Los Angeles Clippers,110,0
Houston Rockets,94,Charlotte Hornets,119,1
Washington Wizards,105,Chicago Bulls,101,0
Toronto Raptors,128,Memphis Grizzlies,113,0
Minnesota Timberwolves,122,Dallas Mavericks,127,1
Golden State Warriors,100,San Antonio Spurs,105,1
Cleveland Cavaliers,113,Phoenix Suns,119,1
Milwaukee Bucks,125,Denver Nuggets,112,0
Oklahoma City Thunder,112,Los Angeles Lakers,119,1
Brooklyn Nets,111,Detroit Pistons,122,1
New York Knicks,96,Miami Heat,98,1
Houston Rockets,101,New Orleans Pelicans,130,1
Golden State Warriors,114,San Antonio Spurs,91,0
Orlando Magic,97,Portland Trail Blazers,106,1
Philadelphia 76ers,119,Sacramento Kings,111,0
Boston Celtics,108,Utah Jazz,122,1
Toronto Raptors,137,Washington Wizards,115,0
Atlanta Hawks,117,Dallas Mavericks,118,1
Indiana Pacers,94,Brooklyn Nets,104,1
Charlotte Hornets,114,Memphis Grizzlies,130,1
Los Angeles Clippers,119,Minnesota Timberwolves,112,0
New Orleans Pelicans,116,Chicago Bulls,129,1
Cleveland Cavaliers,95,Denver Nuggets,133,1
Oklahoma City Thunder,113,Los Angeles Lakers,114,1
Milwaukee Bucks,124,Phoenix Suns,125,1
Toronto Raptors,106,Boston Celtics,120,1
Miami Heat,101,Houston Rockets,94,0
Indiana Pacers,111,Detroit Pistons,95,0
Orlando Magic,105,Golden State Warriors,111,1
Philadelphia 76ers,114,Portland Trail Blazers,118,1
Minnesota Timberwolves,114,Charlotte Hornets,120,1
New York Knicks,109,Washington Wizards,91,0
San Antonio Spurs,125,Atlanta Hawks,114,0
New Orleans Pelicans,130,Dallas Mavericks,143,1
Detroit Pistons,108,Boston Celtics,102,0
Los Angeles Clippers,125,Chicago Bulls,106,0
Oklahoma City Thunder,95,Denver Nuggets,97,1
Milwaukee Bucks,115,Utah Jazz,129,1
Memphis Grizzlies,105,Los Angeles Lakers,115,1
Cleveland Cavaliers,110,Portland Trail Blazers,129,1
Orlando Magic,123,Sacramento Kings,112,0
Philadelphia 76ers,111,Phoenix Suns,120,1
Indiana Pacers,125,Atlanta Hawks,113,0
Houston Rockets,99,New York Knicks,121,1
Brooklyn Nets,134,Golden State Warriors,117,0
Miami Heat,94,Utah Jazz,112,1
Boston Celtics,91,Washington Wizards,104,1
San Antonio Spurs,122,Charlotte Hornets,110,0
New Orleans Pelicans,112,Detroit Pistons,123,1
